name,Worldwide,year,trailer,watched,,
Avengers: Endgame,"$2,797,800,564",2019,https://www.youtube.com/results?search_query=Avengers:+Endgame+trailer&page=&utm_source=opensearch,1,,
Avengers: Infinity War,"$2,048,359,754",2018,https://www.youtube.com/results?search_query=Avengers:+Infinity+War+trailer&page=&utm_source=opensearch,1,,
The Lion King,"$1,656,943,394",2019,https://www.youtube.com/results?search_query=The+Lion+King+trailer&page=&utm_source=opensearch,1,,
Frozen II,"$1,450,026,933",2019,https://www.youtube.com/results?search_query=Frozen+II+trailer&page=&utm_source=opensearch,0,,
Black Panther,"$1,346,913,161",2018,https://www.youtube.com/results?search_query=Black+Panther+trailer&page=&utm_source=opensearch,0,,
Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889",2017,https://www.youtube.com/results?search_query=Star+Wars:+Episode+VIII+-+The+Last+Jedi+trailer&page=&utm_source=opensearch,0,,
Jurassic World: Fallen Kingdom,"$1,308,467,944",2018,https://www.youtube.com/results?search_query=Jurassic+World:+Fallen+Kingdom+trailer&page=&utm_source=opensearch,0,,
Beauty and the Beast,"$1,263,521,126",2017,https://www.youtube.com/results?search_query=Beauty+and+the+Beast+trailer&page=&utm_source=opensearch,0,,
Incredibles 2,"$1,242,805,359",2018,https://www.youtube.com/results?search_query=Incredibles+2+trailer&page=&utm_source=opensearch,0,,
The Fate of the Furious,"$1,236,005,118",2017,https://www.youtube.com/results?search_query=The+Fate+of+the+Furious+trailer&page=&utm_source=opensearch,0,,
Captain America: Civil War,"$1,153,296,293",2016,https://www.youtube.com/results?search_query=Captain+America:+Civil+War+trailer&page=&utm_source=opensearch,0,,
Aquaman,"$1,148,461,807",2018,https://www.youtube.com/results?search_query=Aquaman+trailer&page=&utm_source=opensearch,0,,
Spider-Man: Far from Home,"$1,131,927,996",2019,https://www.youtube.com/results?search_query=Spider-Man:+Far+from+Home+trailer&page=&utm_source=opensearch,0,,
Captain Marvel,"$1,128,274,794",2019,https://www.youtube.com/results?search_query=Captain+Marvel+trailer&page=&utm_source=opensearch,0,,
Joker,"$1,074,251,311",2019,https://www.youtube.com/results?search_query=Joker+trailer&page=&utm_source=opensearch,0,,
Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248",2019,https://www.youtube.com/results?search_query=Star+Wars:+Episode+IX+-+The+Rise+of+Skywalker+trailer&page=&utm_source=opensearch,0,,
Toy Story 4,"$1,073,394,593",2019,https://www.youtube.com/results?search_query=Toy+Story+4+trailer&page=&utm_source=opensearch,0,,
Rogue One: A Star Wars Story,"$1,056,057,273",2016,https://www.youtube.com/results?search_query=Rogue+One:+A+Star+Wars+Story+trailer&page=&utm_source=opensearch,0,,
Aladdin,"$1,050,693,953",2019,https://www.youtube.com/results?search_query=Aladdin+trailer&page=&utm_source=opensearch,0,,
Despicable Me 3,"$1,034,799,409",2017,https://www.youtube.com/results?search_query=Despicable+Me+3+trailer&page=&utm_source=opensearch,0,,
Finding Dory,"$1,028,570,889",2016,https://www.youtube.com/results?search_query=Finding+Dory+trailer&page=&utm_source=opensearch,0,,
Zootopia,"$1,023,784,195",2016,https://www.youtube.com/results?search_query=Zootopia+trailer&page=&utm_source=opensearch,0,,
The Jungle Book,"$966,550,600",2016,https://www.youtube.com/results?search_query=The+Jungle+Book+trailer&page=&utm_source=opensearch,0,,
Jumanji: Welcome to the Jungle,"$962,077,546",2017,https://www.youtube.com/results?search_query=Jumanji:+Welcome+to+the+Jungle+trailer&page=&utm_source=opensearch,0,,
Bohemian Rhapsody,"$903,655,259",2018,https://www.youtube.com/results?search_query=Bohemian+Rhapsody+trailer&page=&utm_source=opensearch,0,,
Spider-Man: Homecoming,"$880,166,924",2017,https://www.youtube.com/results?search_query=Spider-Man:+Homecoming+trailer&page=&utm_source=opensearch,0,,
The Secret Life of Pets,"$875,457,937",2016,https://www.youtube.com/results?search_query=The+Secret+Life+of+Pets+trailer&page=&utm_source=opensearch,0,,
Batman v Superman: Dawn of Justice,"$873,634,919",2016,https://www.youtube.com/results?search_query=Batman+v+Superman:+Dawn+of+Justice+trailer&page=&utm_source=opensearch,0,,
Wolf Warrior 2,"$870,325,439",2017,https://www.youtube.com/results?search_query=Wolf+Warrior+2+trailer&page=&utm_source=opensearch,0,,
Guardians of the Galaxy Vol. 2,"$863,756,051",2017,https://www.youtube.com/results?search_query=Guardians+of+the+Galaxy+Vol.+2+trailer&page=&utm_source=opensearch,0,,
Venom,"$856,085,151",2018,https://www.youtube.com/results?search_query=Venom+trailer&page=&utm_source=opensearch,0,,
Thor: Ragnarok,"$853,977,126",2017,https://www.youtube.com/results?search_query=Thor:+Ragnarok+trailer&page=&utm_source=opensearch,0,,
Wonder Woman,"$821,847,012",2017,https://www.youtube.com/results?search_query=Wonder+Woman+trailer&page=&utm_source=opensearch,0,,
Fantastic Beasts and Where to Find Them,"$814,037,575",2016,https://www.youtube.com/results?search_query=Fantastic+Beasts+and+Where+to+Find+Them+trailer&page=&utm_source=opensearch,0,,
Coco,"$807,082,196",2017,https://www.youtube.com/results?search_query=Coco+trailer&page=&utm_source=opensearch,0,,
Jumanji: The Next Level,"$796,575,993",2019,https://www.youtube.com/results?search_query=Jumanji:+The+Next+Level+trailer&page=&utm_source=opensearch,0,,
Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794",2017,https://www.youtube.com/results?search_query=Pirates+of+the+Caribbean:+Dead+Men+Tell+No+Tales+trailer&page=&utm_source=opensearch,0,,
Mission: Impossible - Fallout,"$791,115,104",2018,https://www.youtube.com/results?search_query=Mission:+Impossible+-+Fallout+trailer&page=&utm_source=opensearch,0,,
Deadpool,"$782,612,155",2016,https://www.youtube.com/results?search_query=Deadpool+trailer&page=&utm_source=opensearch,0,,
Fast & Furious Presents: Hobbs & Shaw,"$759,056,935",2019,https://www.youtube.com/results?search_query=Fast+&+Furious+Presents:+Hobbs+&+Shaw+trailer&page=&utm_source=opensearch,0,,
Suicide Squad,"$746,846,894",2016,https://www.youtube.com/results?search_query=Suicide+Squad+trailer&page=&utm_source=opensearch,0,,
Deadpool 2,"$734,546,611",2018,https://www.youtube.com/results?search_query=Deadpool+2+trailer&page=&utm_source=opensearch,0,,
Ne Zha,"$726,063,471",2019,https://www.youtube.com/results?search_query=Ne+Zha+trailer&page=&utm_source=opensearch,0,,
It,"$700,381,748",2017,https://www.youtube.com/results?search_query=It+trailer&page=&utm_source=opensearch,0,,
The Wandering Earth,"$699,856,699",2019,https://www.youtube.com/results?search_query=The+Wandering+Earth+trailer&page=&utm_source=opensearch,0,,
Doctor Strange,"$677,718,395",2016,https://www.youtube.com/results?search_query=Doctor+Strange+trailer&page=&utm_source=opensearch,0,,
Justice League,"$657,924,295",2017,https://www.youtube.com/results?search_query=Justice+League+trailer&page=&utm_source=opensearch,0,,
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901",2018,https://www.youtube.com/results?search_query=Fantastic+Beasts:+The+Crimes+of+Grindelwald+trailer&page=&utm_source=opensearch,0,,
Moana,"$643,331,111",2016,https://www.youtube.com/results?search_query=Moana+trailer&page=&utm_source=opensearch,0,,
Sing,"$634,151,679",2016,https://www.youtube.com/results?search_query=Sing+trailer&page=&utm_source=opensearch,0,,
Ant-Man and the Wasp,"$622,674,139",2018,https://www.youtube.com/results?search_query=Ant-Man+and+the+Wasp+trailer&page=&utm_source=opensearch,0,,
Logan,"$619,021,436",2017,https://www.youtube.com/results?search_query=Logan+trailer&page=&utm_source=opensearch,0,,
Transformers: The Last Knight,"$605,425,157",2017,https://www.youtube.com/results?search_query=Transformers:+The+Last+Knight+trailer&page=&utm_source=opensearch,0,,
