headline,video_link
Python Tutorial: Zip Files – Creating and Extracting Zip Archives,https://www.youtube.com/watch?v=z0gguhEmWiY
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,https://www.youtube.com/watch?v=_P7X8tMplsw
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,https://www.youtube.com/watch?v=fKl2JW_qrso
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,https://www.youtube.com/watch?v=IEEhzQoKtQU
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity),https://www.youtube.com/watch?v=mO_dS3rXDIs
Python Tutorial: Calling External Commands Using the Subprocess Module,https://www.youtube.com/watch?v=2Fp1N6dof0Y
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview,https://www.youtube.com/watch?v=-nh9rCzPJ20
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview,https://www.youtube.com/watch?v=06I63_p-2A4
Clarifying the Issues with Mutable Default Arguments,https://www.youtube.com/watch?v=_JGmemuINww
5 Common Python Mistakes and How to Fix Them,https://www.youtube.com/watch?v=zdJEYhA2AZQ
How I Setup a New Development Machine – Using Scripts to Automate Installs and Save Time,https://www.youtube.com/watch?v=kIdiWut8eD8
How to Write Python Scripts to Analyze JSON APIs and Sort Results,https://www.youtube.com/watch?v=1lxrb_ezP-g
Homebrew Tutorial: Simplify Software Installation on Mac Using This Package Manager,https://www.youtube.com/watch?v=SELYgZvAZbU
Python Tutorial: VENV (Windows) – How to Use Virtual Environments with the Built-In venv Module,https://www.youtube.com/watch?v=APOPm01BVrk
Python Tutorial: VENV (Mac & Linux) – How to Use Virtual Environments with the Built-In venv Module,https://www.youtube.com/watch?v=Kg1Yvry_Ydk
10 Python Tips and Tricks For Writing Better Code,https://www.youtube.com/watch?v=C-gEQdGVXbk
"How to Send Emails Using Python – Plain Text, Adding Attachments, HTML Emails, and More",https://www.youtube.com/watch?v=JRCJ6RtE3xU
Python Tutorial: Web Scraping with Requests-HTML,https://www.youtube.com/watch?v=a6fIbtFB46g
"Python Tutorial: Write a Script to Monitor a Website, Send Alert Emails, and Reboot Servers",https://www.youtube.com/watch?v=yqm6MBt-yfY
"Python Requests Tutorial: Request Web Pages, Download Images, POST Data, Read JSON, and More",https://www.youtube.com/watch?v=tb8gHvYlCFs
Python Django Tutorial: Deploying Your Application (Option #2) – Deploy using Heroku,https://www.youtube.com/watch?v=6DI_7Zja8Zc
Python Django Tutorial: Full-Featured Web App Part 13 – Using AWS S3 for File Uploads,https://www.youtube.com/watch?v=kt3ZtW9MXhw
Python Django Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let’s Encrypt,https://www.youtube.com/watch?v=NhidVhNHfeU
Python Flask Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let’s Encrypt,https://www.youtube.com/watch?v=Gdys9qPjuKs
Python Django Tutorial: How to Use Custom Domain Name For Our Application,https://www.youtube.com/watch?v=D2lwk1Ukgz0
Python Flask Tutorial: How to Use Custom Domain Name For Our Application,https://www.youtube.com/watch?v=LUFn-QVcmB8
Python Flask Tutorial: Deploying Your Application (Option #1) – Deploy to a Linux Server,https://www.youtube.com/watch?v=goToXTC96Co
Python Django Tutorial: Deploying Your Application (Option #1) – Deploy to a Linux Server,https://www.youtube.com/watch?v=Sa_kQheCnds
Python Tutorial: Itertools Module – Iterator Functions for Efficient Looping,https://www.youtube.com/watch?v=Qu3dThVy6KQ
Python Coding Problem: Creating Your Own Iterators,https://www.youtube.com/watch?v=C3Z9lJXI6Qw
Python Tutorial: Iterators and Iterables – What Are They and How Do They Work?,https://www.youtube.com/watch?v=jTYiNjvnHZY
Python Tutorial: Pipenv – Easily Manage Packages and Virtual Environments,https://www.youtube.com/watch?v=zDYL22QNiWk
Python Django Tutorials – Full Series,https://www.youtube.com/watch?v=UmljXZIypDc
